Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
recF	PMM1573	DNA replication/repair protein RecF	TX50_RS08420		
PMM0415	PMM0415	aminotransferase class V-fold PLP-dependent enzyme	TX50_RS02230		
PMM0874	PMM0874	ATP adenylyltransferase	TX50_RS04675		
PMM0020	PMM0020	YbaB/EbfC family nucleoid-associated protein	TX50_RS00115		
rpsS	PMM1554	30S ribosomal protein S19	TX50_RS08320		
PMM0397	PMM0397	glycosyltransferase family 4 protein	TX50_RS02135		
PMM0852	PMM0852	DUF565 domain-containing protein	TX50_RS04555		
rplQ	PMM1534	50S ribosomal protein L17	TX50_RS08225		
tpiA	PMM0829	triose-phosphate isomerase	TX50_RS04440	oxygenic photosynthesis // Calvin-Benson-Bassham cycle // gluconeogenesis I	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
PMM1517	PMM1517	serine hydrolase	TX50_RS08135		
PMM0804	PMM0804	ferritin	TX50_RS04285		
rpsP	PMM1285	30S ribosomal protein S16	TX50_RS06895		
clpS	PMM1499	Clp protease adapter protein ClpS2	TX50_RS08045		
cbbP	PMM0785	phosphoribulokinase	TX50_RS04190	oxygenic photosynthesis // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
argF	PMM1263	ornithine carbamoyltransferase	TX50_RS06790	L-arginine biosynthesis II (acetyl cycle) // urea cycle // L-citrulline degradation // L-arginine biosynthesis I (via L-ornithine)	Amino Acid Biosynthesis // Inorganic Nutrient Metabolism // Amino Acid Degradation // Superpathways
rpoC2	PMM1483	DNA-directed RNA polymerase subunit beta'	TX50_RS07965		
PMM0374	PMM0374	TatA/E family twin arginine-targeting protein translocase	TX50_RS01990		
rpe	PMM0766	ribulose-phosphate 3-epimerase	TX50_RS04095	pentose phosphate pathway // oxygenic photosynthesis // pentose phosphate pathway (non-oxidative branch) I // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
PMM1239	PMM1239	ATP-binding cassette domain-containing protein	TX50_RS06670		
fumc	PMM1466	class II fumarate hydratase	TX50_RS07880	partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy
PMM0354	PMM0354	glycosyltransferase family 2 protein	TX50_RS01875		
PMM0749	PMM0749	FtsX-like permease family protein	TX50_RS04015		
PMM1217	PMM1217	SIS domain-containing protein	TX50_RS06560		
PMM1449	PMM1449	2Fe-2S iron-sulfur cluster binding domain-containing protein	TX50_RS07795		
PMM0330	PMM0330	LysM peptidoglycan-binding domain-containing protein	TX50_RS01740		
pstA	PMM0724	ABC-type phosphate transporter, permease component	TX50_RS03870		
PMM1200	PMM1200	glycosyltransferase	TX50_RS06475		
rpoZ	PMM1431	DNA-directed RNA polymerase subunit omega	TX50_RS07710		
psbT	PMM0314	photosystem II reaction center protein T	TX50_RS01630	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0695	PMM0695	type 1 glutamine amidotransferase	TX50_RS03710		
PMM1182	PMM1182	DUF2808 domain-containing protein	TX50_RS06380		
PMM1394	PMM1394	DUF1651 domain-containing protein	TX50_RS07495		
rub	PMM0295	rubredoxin	TX50_RS01530		
phnD	PMM0673	periplasmic phosphonate-binding protein	TX50_RS03580		
psbC	PMM1158	photosystem II chlorophyll-binding protein CP43	TX50_RS06245	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM1372	PMM1372	cupin domain-containing protein	TX50_RS07365		
PMM0279	PMM0279	Xanthosine triphosphate pyrophosphatase	TX50_RS01450		
gloA	PMM0653	lactoylglutathione lyase	TX50_RS03460	methylglyoxal degradation I	Methylglyoxal Detoxification // Aldehyde Degradation
cysS	PMM1141	cysteine--tRNA ligase	TX50_RS06150	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1352	PMM1352	2Fe-2S iron-sulfur cluster binding domain-containing protein	TX50_RS07250		
sfsA	PMM0262	DNA/RNA nuclease SfsA	TX50_RS01360		
crtL-e	PMM0633	bifunctional lycopene &epsilon;/&beta; cyclase	TX50_RS03360	flexixanthin biosynthesis // &beta;-carotene biosynthesis // &alpha;-carotene biosynthesis	Secondary Metabolite Biosynthesis
PMM1116	PMM1116	methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO	TX50_RS05980		
